"ITEM_SALE_BK"|"DATE"|"SUPPORT_ITEM_BK"|"QUANTITY"|"DESCRIPTION"|"TOTAL"|"BUSINESS_UNIT_BK"|"ACCOUNT_NUMBER"|"CARD_ID"|"H_ITEM_SALE_SID"|"ITEM_SALE_DETAIL_BK"|"H_ITEM_SALE_DETAIL_SID"|"H_BUSINESS_UNIT_SID"|"H_NDIS_SUPPORT_ITEM_SID"|"AMOUNT"|"WORKFLOW_PATH"|"WORKFLOW_NAME"|"WORKSPACE"|"SOURCE"|"LOAD_DATE_TIME"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-20 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(106)"|"9b8103c4e4bcb8b32bb9dd4c609338fb3cf7e6fb"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-20 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(107)"|"5964df80079770fa17a51b52ac98b44ec8210e59"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-21 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(108)"|"ba8017d60ab8fca3423b4316022958eddc1091cd"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-21 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(109)"|"27fe84425203e56e8a5685312f0195e82f51c9fb"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2017-01-30 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(110)"|"84012b107af2d70a571024ec7faf3515ea9f35ca"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2017-01-30 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(111)"|"3dfbe6cdec9f87b867221ff7dbbc75c7c225a62e"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2017-01-31 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(112)"|"c7a1c9321a5e5789fc7647d90d4823b838af9efd"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2017-01-31 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(113)"|"655e7935d15a67f23826ececfd37d2fbbd9b1b8d"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2017-02-01 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(114)"|"336d8bd8a272148a5adf5724efcd11abdffa5596"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2017-02-01 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(115)"|"856af2f5eeeb2d20aa241159486afe4f6e76d3eb"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
